# Rime user dictionary
#@/db_name	phrases_smp_all.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22014
#@/user_id	Rime
a 	啊	c=120 d=1.46935 t=22014
bai lu yuan 	白鹿原	c=1 d=8.43925e-34 t=22014
bai se 	白色	c=3 d=0.218712 t=22014
bai tan 	擺攤	c=1 d=1 t=21168
bai tian 	白天	c=1 d=2.75168e-26 t=22014
bai xia gao 	白瞎搞	c=1 d=1.28556e-14 t=22014
bai xing 	百姓	c=2 d=1.84366 t=20876
bai ye 	拜謁	c=1 d=1 t=20469
bai yun 	白雲	c=2 d=1.91393 t=21968
ban 	版	c=37 d=0.0880147 t=22014
ban 	辦	c=1 d=4.79572e-32 t=22014
ban ben 	版本	c=22 d=1.86586 t=22014
ban ben hao 	版本號	c=1 d=9.27714e-30 t=22014
ban bu fen 	半部分	c=0 d=0.1 t=20398
ban dao 	辦到	c=1 d=5.41377e-17 t=22014
ban fa 	辦法	c=8 d=0.0939493 t=22014
ban ge 	半個	c=1 d=1.18341e-40 t=22014
ban ge duo yue 	半个多月	c=1 d=6.46803e-22 t=22014
ban gong shi 	辦公室	c=2 d=0.121846 t=22014
ban jia 	半價	c=1 d=9.86622e-19 t=22014
ban kuai 	板塊	c=1 d=6.76229e-16 t=22014
ban li 	辦理	c=2 d=8.11392e-30 t=22014
ban quan 	版權	c=1 d=1.15384e-07 t=22014
ban tian 	半天	c=1 d=1.56613e-13 t=22014
ban wa gong 	版瓦工	c=21 d=9.22646e-05 t=22014
ban wan gong 	版完工	c=1 d=3.06799e-12 t=22014
ban xiao shi 	半小時	c=3 d=0.864385 t=22014
bang 	幫	c=1 d=4.74961e-36 t=22014
bang 	邦	c=1 d=6.45463e-27 t=22014
bang bang mang 	幫幫忙	c=1 d=7.16313e-17 t=22014
bang da jia 	帮大家	c=1 d=0.0564161 t=22014
bang ding 	綁定	c=4 d=0.168638 t=22014
bang mang 	幫忙	c=2 d=1.39504e-05 t=22014
bang wo 	幫我	c=3 d=1.3746e-13 t=22014
bao 	包	c=20 d=3.65473 t=22014
bao 	寶	c=1 d=1.12688e-23 t=22014
bao chi 	保持	c=2 d=1.05906e-19 t=22014
bao chi bu bian 	保持不变	c=1 d=3.94138e-18 t=22014
bao cun 	保存	c=3 d=0.0140797 t=22014
bao dao 	報道	c=1 d=4.94613e-13 t=22014
bao fa hu 	暴發戶	c=1 d=5.86149e-40 t=22014
bao gao 	報告	c=1 d=1.66212e-08 t=22014
bao gao yi xia 	報告一下	c=1 d=1.67045e-07 t=22014
bao han 	包含	c=1 d=2.75834e-25 t=22014
bao hao si 	包豪斯	c=0 d=7.45927e-24 t=22014
bao hu 	保護	c=3 d=0.00545568 t=22014
bao kuo 	包括	c=3 d=2.51356e-20 t=22014
bao li 	暴力	c=1 d=0.0216013 t=22014
bao liao 	爆料	c=2 d=4.11005e-11 t=22014
bao liu 	保留	c=2 d=2.41254e-08 t=22014
bao mu 	保姆	c=1 d=1.94106e-38 t=22014
bao nuan 	保暖	c=1 d=9.85919e-40 t=22014
bao qing tian 	包青天	c=2 d=0.980336 t=22014
bao shou 	保守	c=0 d=0.0628135 t=22014
bao shou dian er 	保守點兒	c=1 d=0.631284 t=22014
bao xiu 	保修	c=1 d=6.60431e-32 t=22014
bao zheng 	保證	c=1 d=0.0109436 t=22014
bao zi 	包子	c=2 d=1.95123 t=21281
bei 	倍	c=1 d=0.000100535 t=22014
bei 	背	c=3 d=1.31172e-32 t=22014
bei 	被	c=45 d=0.878215 t=22014
bei fang 	北方	c=1 d=1.20715e-09 t=22014
bei fen 	備份	c=24 d=1.29379 t=22014
bei ge 	悲歌	c=1 d=3.41461e-36 t=22014
bei hou 	背後	c=1 d=7.34196e-13 t=22014
bei jing 	北京	c=1 d=1.03133e-10 t=22014
bei jing 	背景	c=3 d=0.0202195 t=22014
bei kai chu 	被开除	c=1 d=1.81081e-15 t=22014
bei kao 	備考	c=1 d=4.79816e-38 t=22014
bei lei pi 	被雷劈	c=0 d=9.01705e-20 t=22014
bei li 	背離	c=1 d=1 t=20816
bei ren 	被人	c=1 d=2.14966e-33 t=22014
bei wo 	被我	c=1 d=2.63921e-35 t=22014
bei yong 	備用	c=1 d=7.14099e-10 t=22014
bei zhua 	被抓	c=1 d=1.70067e-12 t=22014
ben 	本	c=2 d=0.07502 t=22014
ben di 	本地	c=10 d=2.92392e-05 t=22014
ben lai 	本來	c=4 d=0.000312783 t=22014
ben shen 	本身	c=8 d=7.43748e-18 t=22014
ben zhi 	本質	c=2 d=2.80189e-41 t=22014
ben zou 	奔走	c=1 d=1 t=21248
bi 	比	c=15 d=0.19591 t=22014
bi 	畢	c=1 d=6.41479e-13 t=22014
bi a yi 	比阿姨	c=1 d=4.91294e-22 t=22014
bi bei 	必備	c=1 d=6.75862e-39 t=22014
bi ji 	筆記	c=1 d=7.23119e-40 t=22014
bi ji ben 	筆記本	c=8 d=3.20988e-06 t=22014
bi jiao 	比較	c=60 d=0.967492 t=22014
bi jiao ao 	比較奧	c=1 d=9.34936e-33 t=22014
bi jiao chou 	比較丑	c=1 d=5.55951e-06 t=22014
bi jiao duo 	比較多	c=2 d=1.0209e-08 t=22014
bi jiao hao 	比較好	c=2 d=1.78234e-05 t=22014
bi jiao ma fan 	比較麻煩	c=1 d=1.78167e-30 t=22014
bi jing 	畢竟	c=2 d=8.46281e-08 t=22014
bi shang 	閉上	c=1 d=4.36406e-40 t=22014
bi xia 	筆下	c=1 d=1 t=20428
bi xian 	避嫌	c=1 d=1 t=20331
bi xu 	必須	c=6 d=7.73574e-10 t=22014
bi yao 	必要	c=0 d=1.06807e-11 t=22014
bi ye 	畢業	c=0 d=0.1 t=21389
bi you 	必有	c=1 d=3.23639e-23 t=22014
bi yu 	比喻	c=2 d=1.00093 t=21909
bi yuan 	弊源	c=1 d=2.16234e-14 t=22014
bi yun tao 	避孕套	c=3 d=4.78512e-06 t=22014
bian 	變	c=5 d=0.00225785 t=22014
bian 	邊	c=4 d=0.0366317 t=22014
bian bie 	辨別	c=1 d=0.00301245 t=22014
bian cheng 	編程	c=1 d=9.56974e-13 t=22014
bian cheng 	變成	c=5 d=9.70776e-05 t=22014
bian hua 	變化	c=1 d=4.73413e-27 t=22014
bian ji 	編輯	c=1 d=1 t=20595
bian ji qi 	編輯器	c=2 d=1.97045 t=20593
bian ju 	編劇	c=1 d=1 t=21123
bian le 	變了	c=1 d=1 t=20107
bian xing 	鞭刑	c=1 d=0.0020601 t=22014
bian yi 	編譯	c=11 d=6.78909e-05 t=22014
bian yuan 	邊緣	c=3 d=6.58054e-19 t=22014
bian zhuan 	变砖	c=3 d=8.30037e-19 t=22014
biao 	標	c=1 d=1.05181e-06 t=22014
biao da 	表達	c=1 d=1 t=20108
biao da chu 	表達出	c=1 d=1 t=21003
biao dian fu hao 	標點符號	c=1 d=1 t=20153
biao ge 	表格	c=1 d=3.7433e-29 t=22014
biao ji 	標記	c=1 d=9.80167e-30 t=22014
biao ming 	表明	c=2 d=1.35505e-13 t=22014
biao qing 	表情	c=3 d=4.57979e-21 t=22014
biao shi 	表示	c=8 d=0.00333893 t=22014
biao shu 	表述	c=1 d=3.58343e-42 t=22014
biao shu wei 	表述爲	c=1 d=1.16018e-42 t=22014
biao xian chu 	表現出	c=1 d=1 t=21295
biao you 	標有	c=1 d=7.40794e-30 t=22014
biao zhun 	標準	c=4 d=1.61432e-06 t=22014
bie 	別	c=8 d=0.190139 t=22014
bie chu qu 	別出去	c=1 d=1.37924e-18 t=22014
bie ge 	別個	c=1 d=8.29947e-14 t=22014
bie ming 	別名	c=2 d=1.55911e-21 t=22014
bie nao 	别闹	c=1 d=2.34722e-38 t=22014
bie qi 	別騎	c=1 d=6.70755e-38 t=22014
bie qiang 	别抢	c=1 d=2.35899e-38 t=22014
bie ren 	別人	c=3 d=3.47648e-12 t=22014
bie shuo 	別說	c=1 d=7.19536e-11 t=22014
bie wen 	別問	c=1 d=6.5602e-12 t=22014
bie yong 	別用	c=2 d=4.2985e-09 t=22014
bing 	並	c=4 d=0.000437252 t=22014
bing 	兵	c=1 d=1.36928e-21 t=22014
bing bu 	並不	c=1 d=5.61807e-41 t=22014
bing du 	病毒	c=4 d=1.068e-14 t=22014
bing mei you 	並沒有	c=1 d=1 t=20427
bing qie 	並且	c=1 d=9.71768e-17 t=22014
bo 	伯	c=1 d=1.38182e-40 t=22014
bo 	波	c=4 d=4.98133e-39 t=22014
bo da 	撥打	c=1 d=6.71805e-27 t=22014
bo fang 	播放	c=3 d=8.67557e-06 t=22014
bo han shu 	波函數	c=3 d=6.23267e-41 t=22014
bo ke 	博客	c=4 d=0.00680566 t=22014
bo li 	玻璃	c=1 d=1.2471e-39 t=22014
bo wu guan 	博物館	c=1 d=2.38854e-08 t=22014
bo yue 	博樂	c=1 d=1.37493e-40 t=22014
bo zhong 	伯仲	c=1 d=1 t=21329
bu 	不	c=69 d=1.52746 t=22014
bu 	步	c=1 d=1.27515e-36 t=22014
bu 	部	c=4 d=0.00024111 t=22014
bu an quan 	不安全	c=3 d=4.38897e-28 t=22014
bu ba xiu 	不罢休	c=1 d=1.85571e-09 t=22014
bu bian 	不變	c=4 d=0.350107 t=22014
bu bu 	步步	c=1 d=4.76936e-26 t=22014
bu chang 	不長	c=1 d=3.11213e-33 t=22014
bu chi 	不吃	c=0 d=1.47187e-19 t=22014
bu chu lai 	不出來	c=1 d=0.00302755 t=22014
bu cong 	不從	c=0 d=0.1 t=21020
bu cun zai 	不存在	c=1 d=2.62247e-19 t=22014
bu cuo 	不錯	c=9 d=0.401319 t=22014
bu da 	不大	c=1 d=1.06807e-11 t=22014
bu da bi yao 	不大必要	c=1 d=1.07342e-10 t=22014
bu da suan 	不打算	c=1 d=1.95823e-24 t=22014
bu da you xi 	不打遊戲	c=1 d=1.93578e-06 t=22014
bu dai 	不帶	c=1 d=2.47488e-14 t=22014
bu dao 	不倒	c=3 d=0.116484 t=22014
bu de liao 	不得了	c=1 d=1.3122e-20 t=22014
bu deng ji 	補登機	c=1 d=2.01993e-36 t=22014
bu diao 	不掉	c=2 d=0.00172074 t=22014
bu ding shi 	不定時	c=1 d=1.13508e-20 t=22014
bu dong 	不動	c=1 d=8.82619e-32 t=22014
bu dong 	不懂	c=11 d=1.74104 t=22014
bu dou shi 	不都是	c=3 d=1.02474e-18 t=22014
bu dui 	不對	c=2 d=0.369723 t=22014
bu dui cheng 	不對稱	c=1 d=2.85319e-11 t=22014
bu duo 	不多	c=2 d=2.10243e-07 t=22014
bu fa 	步伐	c=1 d=0.0314298 t=22014
bu fa 	步法	c=1 d=1 t=20383
bu fang bian 	不方便	c=3 d=1.53804e-06 t=22014
bu fen 	不分	c=1 d=1 t=20566
bu fen 	部分	c=5 d=0.000848583 t=22014
bu feng suo 	不封鎖	c=1 d=2.76265e-14 t=22014
bu gai mai 	不该买	c=1 d=4.57456e-06 t=22014
bu gan 	不敢	c=3 d=0.178173 t=22014
bu gan xing qu 	不感興趣	c=1 d=2.10351e-13 t=22014
bu gan yong 	不敢用	c=1 d=0.209088 t=22014
bu gei 	補給	c=1 d=0.008396 t=22014
bu gou 	不夠	c=1 d=2.8463e-12 t=22014
bu gou yong 	不够用	c=1 d=6.98129e-38 t=22014
bu guan 	不管	c=6 d=0.0589516 t=22014
bu gui fan 	不規範	c=1 d=8.47289e-22 t=22014
bu guo 	不過	c=47 d=0.494148 t=22014
bu guo guan 	不過關	c=1 d=0.157237 t=22014
bu guo ke neng 	不過可能	c=1 d=6.31714e-09 t=22014
bu guo lai 	不過來	c=1 d=6.74254e-11 t=22014
bu guo qu 	不過去	c=1 d=1.24371e-07 t=22014
bu hao 	不好	c=9 d=0.00594622 t=22014
bu hao chi 	不好吃	c=1 d=3.21631e-38 t=22014
bu he li 	不合理	c=1 d=1.85918e-31 t=22014
bu hua suan 	不划算	c=2 d=3.41414e-05 t=22014
bu huan 	不換	c=1 d=2.92432e-36 t=22014
bu hui 	不會	c=13 d=0.0989458 t=22014
bu hui fu 	不回复	c=0 d=3.09556e-30 t=22014
bu hui fu wo 	不回复我	c=1 d=3.11107e-29 t=22014
bu ji 	不急	c=1 d=3.22134e-27 t=22014
bu ji jin 	不激進	c=1 d=3.89818e-06 t=22014
bu jian 	不見	c=2 d=3.18603e-15 t=22014
bu jian yi 	不建议	c=1 d=7.04545e-28 t=22014
bu jin 	不僅	c=2 d=3.56631e-18 t=22014
bu jiu shi 	不就是	c=1 d=8.04844e-35 t=22014
bu ka 	不卡	c=2 d=0.00791934 t=22014
bu kai yuan 	不開源	c=4 d=0.220384 t=22014
bu kan 	不看	c=1 d=4.55005e-31 t=22014
bu kao pu 	不靠谱	c=2 d=0.000115345 t=22014
bu ke 	不可	c=1 d=9.41574e-28 t=22014
bu ke neng 	不可能	c=3 d=5.77262e-07 t=22014
bu ke si yi 	不可思議	c=1 d=8.8385e-19 t=22014
bu ke yi 	不可以	c=1 d=1.35262e-24 t=22014
bu le 	不了	c=8 d=0.324652 t=22014
bu li jie 	不理解	c=2 d=0.00806372 t=22014
bu liao 	不料	c=0 d=9.09837e-08 t=22014
bu liu 	不留	c=1 d=6.44804e-15 t=22014
bu man 	不滿	c=2 d=0.000403635 t=22014
bu nai 	不耐	c=1 d=1.14431e-27 t=22014
bu nai fang 	不耐放	c=1 d=1 t=20764
bu nen 	不嫩	c=1 d=0.00591656 t=22014
bu neng 	不能	c=11 d=0.959773 t=22014
bu neng wang huai 	不能忘怀	c=1 d=6.87852e-40 t=22014
bu pa 	不怕	c=1 d=7.31654e-31 t=22014
bu ping heng 	不平衡	c=1 d=3.42356e-08 t=22014
bu qi 	不起	c=0 d=8.21103e-36 t=22014
bu qing chu 	不清楚	c=1 d=7.28648e-12 t=22014
bu qu 	不去	c=1 d=6.39823e-12 t=22014
bu que ding 	不確定	c=2 d=4.95176e-42 t=22014
bu ran 	不然	c=1 d=1.49747e-15 t=22014
bu rang yong 	不让用	c=1 d=0.00433948 t=22014
bu ren 	不仁	c=1 d=1 t=20798
bu ren 	不忍	c=1 d=3.40695e-39 t=22014
bu ren shi 	不认识	c=1 d=4.71533e-39 t=22014
bu rong yi 	不容易	c=2 d=0.0194482 t=22014
bu shang 	不上	c=2 d=1.99677e-18 t=22014
bu shang qu 	不上去	c=1 d=5.01731e-34 t=22014
bu shao 	不少	c=3 d=0.00037447 t=22014
bu shao le 	不少了	c=1 d=1.81865e-07 t=22014
bu shen 	補腎	c=1 d=1.00584e-39 t=22014
bu shi 	不是	c=49 d=0.241762 t=22014
bu shi ba 	不是把	c=1 d=3.88812e-05 t=22014
bu shou 	不受	c=1 d=5.19796e-09 t=22014
bu shu 	部署	c=6 d=0.00028157 t=22014
bu shuo 	不說	c=1 d=0.00290884 t=22014
bu shuo le 	不说了	c=1 d=2.75215e-28 t=22014
bu si 	不死	c=2 d=0.0601554 t=22014
bu suan 	不算	c=1 d=1.94178e-13 t=22014
bu tai 	不太	c=2 d=1.74071e-10 t=22014
bu tai dong 	不太懂	c=3 d=3.42335e-05 t=22014
bu tai hui 	不太會	c=0 d=8.0819e-26 t=22014
bu tai hui gao 	不太會搞	c=1 d=8.12241e-25 t=22014
bu tai kao pu 	不太靠譜	c=1 d=7.52654e-11 t=22014
bu tai xi huan 	不太喜欢	c=1 d=2.30075e-38 t=22014
bu tai xin 	不太信	c=1 d=0.0286505 t=22014
bu tai xin ren 	不太信人	c=1 d=0.287941 t=22014
bu ti gao 	不提高	c=1 d=1.65524e-17 t=22014
bu ti huan 	不替換	c=2 d=1.24883e-18 t=22014
bu ting 	不停	c=9 d=0.548812 t=22014
bu ting hua 	不听话	c=2 d=0.0740029 t=22014
bu tong 	不同	c=13 d=1.88343e-07 t=22014
bu tong ren 	不同人	c=1 d=1.93941e-28 t=22014
bu tong yi 	不同意	c=0 d=0.1 t=21059
bu tong yi le 	不同意了	c=1 d=1 t=21060
bu wan 	不玩	c=2 d=0.106992 t=22014
bu wen ding 	不穩定	c=1 d=0.000889368 t=22014
bu xian 	不限	c=1 d=5.99232e-35 t=22014
bu xian shi 	不顯示	c=1 d=2.05402e-27 t=22014
bu xian su 	不限速	c=1 d=1.55752e-07 t=22014
bu xiang 	不像	c=1 d=1 t=19985
bu xiang 	不想	c=3 d=8.96597e-11 t=22014
bu xin 	不信	c=1 d=1.23452e-08 t=22014
bu xing 	不行	c=17 d=0.0812772 t=22014
bu xu fei 	不續費	c=1 d=1.96604e-12 t=22014
bu xu yao 	不需要	c=14 d=0.147282 t=22014
bu ya 	不雅	c=1 d=2.99265e-43 t=22014
bu yan ge 	不严格	c=1 d=4.16352e-16 t=22014
bu yao 	不要	c=9 d=0.0474362 t=22014
bu yao 	補藥	c=4 d=4.22497e-35 t=22014
bu yao lian 	不要臉	c=1 d=0.0248475 t=22014
bu yi 	不以	c=1 d=6.8631e-43 t=22014
bu yi ding 	不一定	c=1 d=2.13414e-36 t=22014
bu yi yang 	不一樣	c=5 d=1.95586e-08 t=22014
bu ying gai 	不應該	c=2 d=0.00740944 t=22014
bu yong 	不用	c=13 d=0.108256 t=22014
bu yong guan 	不用管	c=1 d=8.45677e-29 t=22014
bu yuan yi 	不願意	c=1 d=3.83206e-40 t=22014
bu yun xu 	不允许	c=2 d=1.01984e-13 t=22014
bu za di 	不砸地	c=1 d=6.06944e-09 t=22014
bu zai 	不在	c=9 d=0.0620385 t=22014
bu zen me 	不怎麼	c=3 d=0.131336 t=22014
bu zheng chang 	不正常	c=1 d=0.00355287 t=22014
bu zhi 	不知	c=1 d=1 t=21176
bu zhi chi 	不支持	c=12 d=0.0900634 t=22014
bu zhi dao 	不知道	c=39 d=0.161971 t=22014
bu zhou 	步驟	c=1 d=1.13469e-16 t=22014
bu zhu ce 	不注册	c=1 d=0.00585769 t=22014
bu zhuang 	不裝	c=1 d=2.40084e-39 t=22014
bu zu yi 	不足以	c=1 d=1.2443e-42 t=22014
bu zuo e 	不作恶	c=1 d=2.96297e-14 t=22014
ca 	擦	c=1 d=0.0124629 t=22014
cai 	才	c=10 d=0.342533 t=22014
cai bu chi 	才不吃	c=1 d=1.47924e-18 t=22014
cai bu hui 	纔不會	c=1 d=0.000459671 t=22014
cai cai 	猜猜	c=1 d=1 t=20229
cai cai 	菜菜	c=4 d=0.000132358 t=22014
cai ce 	猜測	c=1 d=7.32924e-22 t=22014
cai dan 	菜單	c=1 d=9.75004e-17 t=22014
cai dan jian 	菜單鍵	c=1 d=9.79e-16 t=22014
cai ke yi 	纔可以	c=8 d=2.394e-05 t=22014
cai neng 	才能	c=1 d=1 t=21750
cai shi chang 	菜市場	c=1 d=3.43184e-07 t=22014
cai you 	纔有	c=2 d=7.82014e-20 t=22014
can bao 	殘暴	c=1 d=0.0596059 t=22014
can kao 	參考	c=3 d=0.000464291 t=22014
can kao shu 	參考書	c=1 d=1 t=20387
can ku 	殘酷	c=1 d=3.85074e-09 t=22014
can liu 	殘留	c=2 d=1.11325e-14 t=22014
can shu 	參數	c=10 d=1.95019e-05 t=22014
can shu dui bi 	參數對比	c=1 d=5.05465e-33 t=22014
cang 	藏	c=2 d=1.66703e-12 t=22014
cang sang 	滄桑	c=0 d=0.1 t=21001
cang sang wu nai 	滄桑無奈	c=1 d=1 t=21002
cao 	操	c=1 d=5.74854e-17 t=22014
cao 	曹	c=1 d=1 t=20546
cao dan 	操蛋	c=3 d=4.51187e-18 t=22014
cao zhi 	曹植	c=1 d=1 t=20549
cao zi jian 	曹子建	c=1 d=1 t=20548
cao zuo 	操作	c=5 d=1.04306e-12 t=22014
cao zuo xi tong 	操作系統	c=1 d=0.00179994 t=22014
ce 	測	c=1 d=7.79571e-42 t=22014
ce bian 	側邊	c=1 d=1.49666e-38 t=22014
ce bu chu 	测不出	c=0 d=2.01088e-43 t=22014
ce bu chu lai 	测不出來	c=1 d=2.02096e-42 t=22014
ce bu zhun 	測不準	c=7 d=6.7049e-41 t=22014
ce chu 	測出	c=1 d=5.18702e-43 t=22014
ce liang 	測量	c=5 d=2.4613e-41 t=22014
ce lou 	测漏	c=1 d=3.04325e-05 t=22014
ce mian 	側面	c=1 d=1 t=20441
ce ping 	測評	c=1 d=6.14297e-33 t=22014
ce shi 	測試	c=15 d=0.0115912 t=22014
ce shi yi xia 	测试一下	c=1 d=3.12996e-12 t=22014
ceng 	層	c=1 d=1.75604e-36 t=22014
ceng wang 	蹭網	c=2 d=2.78602e-13 t=22014
cha 	差	c=1 d=2.94668e-08 t=22014
cha 	插	c=1 d=3.3269e-24 t=22014
cha 	查	c=8 d=5.56408e-10 t=22014
cha ba 	插拔	c=1 d=1.27693e-23 t=22014
cha bie 	差別	c=1 d=1.74491e-20 t=22014
cha bu dao 	查不到	c=1 d=2.17207e-08 t=22014
cha bu duo 	差不多	c=4 d=4.76211e-08 t=22014
cha cao 	插槽	c=1 d=1.26422e-23 t=22014
cha dao 	查到	c=5 d=1.55726e-05 t=22014
cha jian 	插件	c=7 d=0.0898153 t=22014
cha kan 	查看	c=7 d=5.65062e-13 t=22014
cha le 	插了	c=1 d=4.26153e-25 t=22014
cha ru 	插入	c=1 d=9.74947e-26 t=22014
cha shang 	插上	c=1 d=3.41229e-28 t=22014
cha xie 	差些	c=1 d=5.08447e-14 t=22014
cha xun 	查詢	c=12 d=0.00559994 t=22014
cha zhao 	查找	c=1 d=1.66495e-27 t=22014
cha zi liao 	查资料	c=1 d=2.44393e-13 t=22014
cha zuo 	插座	c=1 d=1.40562e-35 t=22014
chan pin 	產品	c=3 d=1.36789e-09 t=22014
chan sheng 	產生	c=1 d=6.91418e-42 t=22014
chan wu 	產物	c=1 d=2.65297e-08 t=22014
chang 	廠	c=1 d=0.00222592 t=22014
chang 	長	c=10 d=6.79482e-08 t=22014
chang an 	长按	c=4 d=3.21517e-20 t=22014
chang chang 	長長	c=1 d=1.29332e-26 t=22014
chang chuan 	长串	c=1 d=4.18141e-37 t=22014
chang jian 	常見	c=2 d=3.06903e-16 t=22014
chang jiang 	長江	c=1 d=2.12422e-40 t=22014
chang jing 	場景	c=1 d=2.57142e-23 t=22014
chang qi 	長期	c=0 d=3.26502e-10 t=22014
chang qi fu yong 	長期服用	c=1 d=3.28139e-09 t=22014
chang shi 	常識	c=2 d=2.82335e-05 t=22014
chang wu 	常務	c=1 d=1 t=21424
chang xiu shan wu 	長袖善舞	c=1 d=1 t=21908
chao 	炒	c=1 d=3.19982e-07 t=22014
chao e 	超額	c=4 d=0.00103848 t=22014
chao guo 	超過	c=4 d=1.55667e-13 t=22014
chao shi 	超市	c=1 d=1.62131e-38 t=22014
chao ting 	朝廷	c=3 d=0.000748773 t=22014
chao zuo 	炒作	c=0 d=5.80138e-08 t=22014
chao zuo xi tong 	炒作系統	c=1 d=5.83046e-07 t=22014
che 	撤	c=3 d=0.39978 t=22014
che 	車	c=1 d=1 t=21179
che di 	徹底	c=13 d=2.93616e-14 t=22014
che li 	車裏	c=0 d=0.1 t=19977
che xiao 	撤銷	c=1 d=3.57859e-29 t=22014
chen 	陳	c=2 d=1.00421 t=21410
chen guan xi 	陳冠希	c=2 d=1.99005 t=20314
chen hai 	陳海	c=2 d=1.91393 t=21446
chen ji 	趁機	c=1 d=7.53808e-29 t=22014
chen jiu 	陳舊	c=2 d=0.970465 t=22014
chen mo 	沉默	c=9 d=9.15792e-15 t=22014
chen mo zhi xing 	沉默之星	c=13 d=0.113042 t=22014
chen xian 	襯線	c=1 d=6.36307e-06 t=22014
cheng 	成	c=18 d=0.027576 t=22014
cheng 	承	c=1 d=1 t=20520
cheng 	稱	c=2 d=0.000668817 t=22014
cheng ba 	稱霸	c=1 d=0.17552 t=22014
cheng bu 	成不	c=0 d=7.41299e-39 t=22014
cheng bu le 	成不了	c=1 d=7.45015e-38 t=22014
cheng dan 	承擔	c=0 d=8.21103e-36 t=22014
cheng dan bu qi 	承擔不起	c=1 d=8.25219e-35 t=22014
cheng du 	程度	c=1 d=0.0720785 t=22014
cheng gong 	成功	c=2 d=0.609571 t=22014
cheng guan 	城管	c=1 d=1 t=21174
cheng huan 	承歡	c=1 d=1 t=20521
cheng ji 	成績	c=8 d=2.8596e-08 t=22014
cheng ken 	誠懇	c=1 d=2.02833e-26 t=22014
cheng le 	成了	c=7 d=0.0365162 t=22014
cheng long 	成龍	c=2 d=0.00651142 t=22014
cheng mo 	成膜	c=1 d=7.02129e-17 t=22014
cheng nuo 	承諾	c=2 d=0.960789 t=22014
cheng qin 	成親	c=1 d=1 t=20532
cheng shu 	成熟	c=1 d=0.0968105 t=22014
cheng wei 	稱謂	c=2 d=1.625 t=20478
cheng xu 	程序	c=27 d=0.000834014 t=22014
cheng xu yuan 	程序員	c=1 d=6.10401e-17 t=22014
cheng zhi wei 	稱之爲	c=1 d=1.08174e-42 t=22014
chi 	吃	c=6 d=0.00068654 t=22014
chi bu xiao 	吃不消	c=1 d=1.24067e-37 t=22014
chi chu 	吃出	c=1 d=1.69305e-18 t=22014
chi dai 	癡呆	c=0 d=0.00168231 t=22014
chi fan 	吃飯	c=2 d=6.64781e-22 t=22014
chi he 	吃喝	c=1 d=4.3423e-40 t=22014
